"","Street_name","Planning_Area","number_of_stations","average_dist"
"133","SOUTH BUONA VISTA ROAD","QUEENSTOWN",NA,NA
"134","STADIUM WALK","KALLANG",1,210.057937937092
"135","STAMFORD ROAD","MUSEUM",2,308.327352239305
"136","TAI SENG STREET","HOUGANG",1,166.746902288787
"137","TAI THONG CRESCENT","TOA PAYOH",1,270.535660474672
"138","TAMPINES CENTRAL 1","TAMPINES",1,333.65775826919
"139","TAMPINES CENTRAL 5","TAMPINES",1,294.16310532111
"140","TAMPINES STREET 32","TAMPINES",1,460.361353525921
"141","TAN QUEE LAN STREET","DOWNTOWN CORE",1,103.472443148846
"142","TANGLIN ROAD","TANGLIN",NA,NA
"143","TANJONG KATONG ROAD","GEYLANG",NA,NA
"144","TELOK AYER STREET","OUTRAM",4,378.702630236555
"145","TELOK KURAU ROAD","BEDOK",NA,NA
"146","TEMASEK BOULEVARD","DOWNTOWN CORE",2,294.175903896186
"147","TESSENSOHN ROAD","KALLANG",1,464.265841870434
"148","THOMSON ROAD","NOVENA",NA,NA
"149","TIONG BAHRU ROAD","BUKIT MERAH",1,406.607540013818
"150","TRAS STREET","DOWNTOWN CORE",1,281.93406699654
"151","UNITY STREET","SINGAPORE RIVER",1,261.271908308897
"152","UPPER BUKIT TIMAH ROAD","BUKIT PANJANG",2,297.341936137581
"153","UPPER CIRCULAR ROAD","SINGAPORE RIVER",1,163.205007576201
"154","UPPER CROSS STREET","OUTRAM",1,317.252891337896
"155","UPPER SERANGOON ROAD","HOUGANG",1,478.396103283965
"156","UPPER THOMSON ROAD","BISHAN",NA,NA
"157","VICTORIA STREET","ROCHOR",2,350.357169075355
"158","WEST COAST DRIVE","CLEMENTI",NA,NA
"159","WEST COAST ROAD","CLEMENTI",NA,NA
"160","WILKIE ROAD","NEWTON",1,368.184467255461
"161","WOODLANDS AVENUE 1","WOODLANDS",NA,NA
"162","WOODLANDS ROAD","BUKIT PANJANG",1,402.9983735128
"163","WOODLANDS SQUARE","WOODLANDS",1,151.072682267784
"164","YIO CHU KANG ROAD","HOUGANG",NA,NA
"165","YISHUN AVENUE 2","YISHUN",1,128.920506400913
"166","YISHUN AVENUE 9","YISHUN",NA,NA
"167","YISHUN CENTRAL 1","YISHUN",1,273.693330229146
"168","YISHUN RING ROAD","YISHUN",NA,NA
