"...1","Street_name","longitude","latitude","Planning_Area","Number_of_Malls","Number_of_Schools","total_pop"
0,"AIRPORT BOULEVARD",103.9849678239,1.34910508925639,"CHANGI",1,1,1830
1,"ALBERT STREET",103.851354347929,1.30368668240573,"ROCHOR",4,1,13040
2,"ALEXANDRA ROAD",103.815285053503,1.29153654792628,"BUKIT MERAH",2,7,149390
3,"ANG MO KIO AVENUE 3",103.856036447479,1.36930582535665,"ANG MO KIO",3,10,160450
4,"ANSON ROAD",103.845525426538,1.27462245416877,"DOWNTOWN CORE",17,1,4170
5,"BALESTIER ROAD",103.852602097686,1.32218489201971,"NOVENA",4,6,52150
6,"BATTERY ROAD",103.851794202218,1.28549647937914,"DOWNTOWN CORE",17,1,4170
7,"BAYFRONT AVENUE",103.858906543669,1.28162728286943,"DOWNTOWN CORE",17,1,4170
8,"BEACH ROAD",103.857652424567,1.29791640665876,"DOWNTOWN CORE",17,1,4170
9,"BEDOK NORTH STREET 1",103.931653673284,1.32588491763491,"BEDOK",3,14,277660
10,"BEDOK ROAD",103.948260304303,1.33143623119911,"BEDOK",3,14,277660
11,"BENCOOLEN STREET",103.851387989514,1.30015021985465,"ROCHOR",4,1,13040
12,"BIDADARI PARK DRIVE",103.872542786561,1.33877974857702,"TOA PAYOH",2,8,140030
13,"BRAS BASAH ROAD",103.85178047489,1.29609874343828,"MUSEUM",1,1,530
14,"BROOKE ROAD",103.903879270608,1.30376144472777,"MARINE PARADE",5,3,46950
15,"BUKIT TIMAH ROAD",103.787868117719,1.35349310900464,"CENTRAL WATER CATCHMENT",1,1,0
16,"CAVAN ROAD",103.861530443441,1.31092116730954,"KALLANG",4,2,101190
17,"CECIL STREET",103.848636100609,1.28012724159922,"DOWNTOWN CORE",17,1,4170
18,"CENTRAL BOULEVARD",103.857175083123,1.27661641863168,"DOWNTOWN CORE",17,1,4170
19,"CHANGI BUSINESS PARK CENTRAL 1",103.966052238153,1.33686348295857,"TAMPINES",7,14,284950
20,"CHANGI ROAD",103.904124294029,1.31748692341797,"GEYLANG",3,7,116820
21,"CHIN SWEE ROAD",103.84201477461,1.28741411030412,"OUTRAM",4,1,16740
22,"CHOA CHU KANG AVENUE 4",103.740186042782,1.38237896706781,"CHOA CHU KANG",8,8,190640
23,"CHOA CHU KANG NORTH 6",103.747566291981,1.39634622117813,"CHOA CHU KANG",8,8,190640
24,"CLAYMORE DRIVE",103.829514853918,1.30718324095372,"ORCHARD",19,1,870
25,"CLEMENCEAU AVENUE",103.843728126138,1.29775993822781,"MUSEUM",1,1,530
26,"CLEMENTI AVENUE 3",103.765623220882,1.31268636837411,"CLEMENTI",4,4,102960
27,"COLEMAN STREET",103.851236674943,1.29124450197035,"DOWNTOWN CORE",17,1,4170
28,"COLLYER QUAY",103.852692297865,1.28468928277083,"DOWNTOWN CORE",17,1,4170
29,"COMMONWEALTH AVENUE WEST",103.77463507603,1.31242383474124,"QUEENSTOWN",4,4,102040
30,"COMPASSVALE BOW",103.893536162573,1.38148140445877,"SENGKANG",4,12,265550
31,"CROSS STREET",103.848569819667,1.28217812040111,"OUTRAM",4,1,16740
32,"CUSCADEN ROAD",103.826332976548,1.30505061371051,"ORCHARD",19,1,870
33,"EAST COAST ROAD",103.925234530164,1.31230752184183,"BEDOK",3,14,277660
34,"EASTWOOD ROAD",103.95592400669,1.32153103027228,"BEDOK",3,14,277660
35,"ENG HOON STREET",103.834328570275,1.28370255157364,"BUKIT MERAH",2,7,149390
36,"ENGGOR STREET",103.844183737234,1.27421368099874,"DOWNTOWN CORE",17,1,4170
37,"EU TONG SEN STREET",103.842727387617,1.28361967704455,"OUTRAM",4,1,16740
38,"FOCH ROAD",103.860359405829,1.3125035421765,"KALLANG",4,2,101190
39,"GEYLANG ROAD",103.889105438693,1.31422874053214,"GEYLANG",3,7,116820
40,"GOLDHILL PLAZA",103.843486566741,1.3178316543636,"NOVENA",4,6,52150
41,"GOPENG STREET",103.844533000164,1.27548014509447,"DOWNTOWN CORE",17,1,4170
42,"GUILLEMARD ROAD",103.883633824841,1.31108594711138,"GEYLANG",3,7,116820
43,"HANDY ROAD",103.847468258282,1.2984997727958,"MUSEUM",1,1,530
44,"HAVELOCK ROAD",103.827502108439,1.28905634657056,"BUKIT MERAH",2,7,149390
45,"HIGH STREET",103.84945080632,1.2906187666319,"DOWNTOWN CORE",17,1,4170
46,"HOLLAND AVENUE",103.795140758955,1.30911430690669,"QUEENSTOWN",4,4,102040
47,"HOUGANG AVENUE 10",103.896993805,1.37484071502492,"HOUGANG",7,11,228780
48,"HOUGANG STREET 51",103.888069696498,1.38004711892853,"HOUGANG",7,11,228780
49,"HOUGANG STREET 91",103.882310053371,1.37708638977268,"HOUGANG",7,11,228780
50,"IRRAWADDY ROAD",103.843337016977,1.32107711872701,"NOVENA",4,6,52150
51,"JALAN ANAK BUKIT",103.778236154267,1.34071468946651,"BUKIT TIMAH",3,8,84250
52,"JALAN BESAR",103.858717469751,1.30977661688661,"KALLANG",4,2,101190
53,"JALAN JURONG KECHIL",103.774717135371,1.3399379140725,"BUKIT TIMAH",3,8,84250
54,"JALAN LEGUNDI",103.823222005278,1.44130521573477,"SEMBAWANG",3,5,110670
55,"JALAN MASJID",103.912406876927,1.31983134095207,"BEDOK",3,14,277660
56,"JALAN SULTAN",103.861412914688,1.30362436176046,"KALLANG",4,2,101190
57,"JELEBU ROAD",103.764094148651,1.37945164127629,"BUKIT PANJANG",5,7,138730
58,"JOO CHIAT ROAD",103.898992245034,1.31552186936095,"GEYLANG",3,7,116820
59,"JOO KOON CIRCLE",103.673098238308,1.32403743528329,"PIONEER",1,1,0
60,"JURONG EAST STREET 21",103.743381794901,1.33733111375087,"JURONG EAST",4,3,74590
61,"JURONG GATEWAY ROAD",103.739826358818,1.33385165809403,"JURONG EAST",4,3,74590
62,"JURONG WEST CENTRAL 2",103.707244524297,1.34020303677348,"JURONG WEST",5,13,257910
63,"JURONG WEST CENTRAL 3",103.7062235223,1.34058011918917,"JURONG WEST",5,13,257910
64,"KALLANG AVENUE",103.86475929446,1.31101739787678,"KALLANG",4,2,101190
65,"KELANTAN LANE",103.85677129681,1.30656278350182,"ROCHOR",4,1,13040
66,"KEPPEL ROAD",103.837544989542,1.27233835727625,"BUKIT MERAH",2,7,149390
