"","Street_name","Planning_Area","number_of_stations","dist_to_nearest_mrt","inversed_dist_to_nearest_mrt","station_name","StationCode"
"106","RAFFLES BOULEVARD","DOWNTOWN CORE",2,261.994161778155,0.00381687894574825,"Promenade","DT15"
"107","RAFFLES LINK","DOWNTOWN CORE",3,201.874067251725,0.00495358325917642,"Esplanade","CC3"
"108","RAFFLES PLACE","DOWNTOWN CORE",3,21.4126216991092,0.0467014275062638,"Raffles Place","EW14"
"109","RAFFLES QUAY","DOWNTOWN CORE",5,240.915544062914,0.00415083220922787,"Downtown","DT17"
"110","RANGOON ROAD","KALLANG",1,353.385899796632,0.00282976768619089,"Farrer Park","NE8"
"111","RIVER VALLEY ROAD","TANGLIN",1,486.394618860704,0.002055943797944,"Great World","TE15"
"112","RIVERVALE CRESCENT","SENGKANG",2,187.083836457319,0.00534519720643071,"Rumbia","SE2"
"113","ROBERTSON QUAY","SINGAPORE RIVER",0,585.244577668964,0.00170868733886098,"Havelock","TE16"
"114","ROBINSON ROAD","DOWNTOWN CORE",3,244.131004407349,0.00409616141312159,"Shenton Way","TE19"
"115","ROCHOR CANAL ROAD","ROCHOR",4,15.4423923688473,0.064756805559309,"Rochor","DT13"
"116","ROCHOR ROAD","ROCHOR",4,170.259212105453,0.00587339731949794,"Bugis","EW12"
"117","SAM LEONG ROAD","KALLANG",1,465.698465403098,0.0021473122079851,"Farrer Park","NE8"
"118","SCOTTS ROAD","NEWTON",1,464.42799163411,0.00215318632385067,"Newton","NS21"
"119","SELEGIE ROAD","ROCHOR",2,355.44538987438,0.0028133716978392,"Rochor","DT13"
"120","SEMBAWANG DRIVE","SEMBAWANG",0,940.611748365218,0.00106313790119887,"Sembawang","NS11"
"121","SEMBAWANG ROAD","MANDAI",0,920.185730206818,0.00108673713053042,"Yishun","NS13"
"122","SENGKANG SQUARE","SENGKANG",2,180.545394055938,0.00553877325549591,"Sengkang","STC"
"123","SENGKANG WEST AVENUE","SENGKANG",2,59.9850542488954,0.0166708192985991,"Fernvale","SW5"
"124","SERANGOON CENTRAL","SERANGOON",1,405.71646512935,0.00246477549211906,"Serangoon","CC13"
"125","SERANGOON ROAD","KALLANG",0,565.778077540193,0.00176747746103499,"Potong Pasir","NE10"
"126","SHENTON WAY","DOWNTOWN CORE",2,275.243840534285,0.00363314215518454,"Tanjong Pagar","EW15"
"127","SIMS AVENUE","GEYLANG",1,175.030014363129,0.00571330582151091,"Aljunied","EW9"
"128","SIMS DRIVE","GEYLANG",1,460.653569856455,0.00217082872127011,"Aljunied","EW9"
"129","SIN MING ROAD","BISHAN",0,561.254539559789,0.00178172278265105,"Upper Thomson","TE8"
"130","SINARAN DRIVE","NOVENA",1,177.0891278582,0.00564687404638825,"Novena","NS20"
"131","SOMERSET ROAD","ORCHARD",1,80.8853820764134,0.0123631733488665,"Somerset","NS23"
"132","SOUTH BRIDGE ROAD","OUTRAM",4,166.121964138251,0.00601967358854352,"Chinatown","DT19"
"133","SOUTH BUONA VISTA ROAD","QUEENSTOWN",0,590.697512326727,0.00169291385037505,"Haw Par Villa","CC25"
"134","STADIUM WALK","KALLANG",1,210.057937937092,0.00476059133884994,"Stadium","CC6"
"135","STAMFORD ROAD","MUSEUM",3,302.689366199239,0.0033037169840376,"City Hall","EW13"
"136","TAI SENG STREET","HOUGANG",1,166.746902288787,0.00599711290748964,"Tai Seng","CC11"
"137","TAI THONG CRESCENT","TOA PAYOH",1,270.535660474672,0.0036963703721921,"Potong Pasir","NE10"
"138","TAMPINES CENTRAL 1","TAMPINES",2,301.828703915647,0.00331313750821881,"Tampines","EW2"
"139","TAMPINES CENTRAL 5","TAMPINES",2,98.1074659472728,0.0101929041826179,"Tampines","EW2"
"140","TAMPINES STREET 32","TAMPINES",1,460.361353525921,0.00217220666404982,"Tampines East","DT33"
"141","TAN QUEE LAN STREET","DOWNTOWN CORE",2,103.472443148846,0.009664408895434,"Bugis","DT14"
"142","TANGLIN ROAD","TANGLIN",0,569.734591372803,0.00175520323874043,"Redhill","EW18"
"143","TANJONG KATONG ROAD","GEYLANG",0,674.88115560648,0.00148174236558932,"Dakota","CC8"
"144","TELOK AYER STREET","OUTRAM",4,143.195038616067,0.00698348217692928,"Telok Ayer","DT18"
"145","TELOK KURAU ROAD","BEDOK",0,782.817759931963,0.00127743652633394,"Marine Terrace","TE27"
"146","TEMASEK BOULEVARD","DOWNTOWN CORE",3,216.727986663948,0.00461407876016755,"Promenade","CC4"
"147","TESSENSOHN ROAD","KALLANG",1,464.265841870434,0.002153938346985,"Farrer Park","NE8"
"148","THOMSON ROAD","NOVENA",0,546.61083065425,0.00182945515148882,"Novena","NS20"
"149","TIONG BAHRU ROAD","BUKIT MERAH",1,406.607540013818,0.00245937397020728,"Havelock","TE16"
"150","TRAS STREET","DOWNTOWN CORE",1,281.93406699654,0.00354692858033461,"Tanjong Pagar","EW15"
"151","UNITY STREET","SINGAPORE RIVER",1,261.271908308897,0.00382743022957416,"Fort Canning","DT20"
"152","UPPER BUKIT TIMAH ROAD","BUKIT PANJANG",3,126.505712755645,0.00790478135901716,"Bukit Panjang","BP6"
"153","UPPER CIRCULAR ROAD","SINGAPORE RIVER",1,163.205007576201,0.00612726297342987,"Clarke Quay","NE5"
"154","UPPER CROSS STREET","OUTRAM",2,180.704385185389,0.00553390001561984,"Chinatown","NE4"
"155","UPPER SERANGOON ROAD","HOUGANG",1,478.396103283965,0.00209031802963165,"Kovan","NE13"
"156","UPPER THOMSON ROAD","BISHAN",0,640.478376710229,0.0015613329604294,"Upper Thomson","TE8"
"157","VICTORIA STREET","ROCHOR",3,13.7095666790351,0.0729417656598305,"Bugis","EW12"
"158","WEST COAST DRIVE","CLEMENTI",0,660.541506724881,0.00151390940587251,"Clementi","EW23"
"159","WEST COAST ROAD","CLEMENTI",0,830.363251983667,0.00120429221501684,"Clementi","EW23"
"160","WILKIE ROAD","NEWTON",2,368.184467255461,0.00271602984084106,"Little India","DT12"
"161","WOODLANDS AVENUE 1","WOODLANDS",0,680.960492549822,0.00146851397539313,"Woodlands","NS9"
"162","WOODLANDS ROAD","BUKIT PANJANG",1,402.9983735128,0.00248139959296445,"Jelapang","BP12"
"163","WOODLANDS SQUARE","WOODLANDS",2,151.072682267784,0.0066193304109571,"Woodlands","NS9"
"164","YIO CHU KANG ROAD","HOUGANG",0,1163.74874007091,0.000859292015163914,"Serangoon","CC13"
"165","YISHUN AVENUE 2","YISHUN",1,128.920506400913,0.0077567179025052,"Khatib","NS14"
"166","YISHUN AVENUE 9","YISHUN",0,591.13432383386,0.00169166289230915,"Yishun","NS13"
"167","YISHUN CENTRAL 1","YISHUN",1,273.693330229146,0.00365372440447403,"Yishun","NS13"
"168","YISHUN RING ROAD","YISHUN",0,713.20163129468,0.00140212803241167,"Yishun","NS13"
