"","Street_name","Planning_Area","number_of_bus_stops","dist_to_nearest_bus_stop","inversed_dist_to_nearest_bus_stop","BusStopCode"
"97","PASIR RIS CENTRAL","PASIR RIS",4,42.8979417826709,0.0233111417108585,"78071"
"98","PASIR RIS CLOSE","PASIR RIS",5,66.5003578580622,0.0150375130632288,"78091"
"99","PAYA LEBAR ROAD","TOA PAYOH",3,29.7981840391473,0.0335590920133338,"70281"
"100","PENANG ROAD","MUSEUM",3,178.960027575993,0.00558783999726064,"08031"
"101","PETIR ROAD","BUKIT PANJANG",7,164.900508071014,0.00606426269814373,"44221"
"102","PUNGGOL CENTRAL","PUNGGOL",8,126.727746620298,0.00789093175463939,"65249"
"103","QUEENSWAY","QUEENSTOWN",3,42.5995770925173,0.0234744114437618,"11071"
"104","RACE COURSE ROAD","KALLANG",4,132.526427500557,0.00754566480708759,"50249"
"105","RAFFLES AVENUE","DOWNTOWN CORE",1,42.3835624603653,0.0235940525512725,"03501"
"106","RAFFLES BOULEVARD","DOWNTOWN CORE",4,21.2688983687535,0.0470170096571207,"02089"
"107","RAFFLES LINK","DOWNTOWN CORE",3,63.095774161369,0.015848921949075,"02119"
"108","RAFFLES PLACE","DOWNTOWN CORE",3,186.333426677674,0.00536672360847973,"03019"
"109","RAFFLES QUAY","DOWNTOWN CORE",4,89.125430028982,0.0112201422161421,"03059"
"110","RANGOON ROAD","KALLANG",2,125.872783736313,0.00794452915329866,"50261"
"111","RIVER VALLEY ROAD","TANGLIN",4,28.6959225387231,0.0348481565159848,"13063"
"112","RIVERVALE CRESCENT","SENGKANG",3,88.4929260514777,0.0113003382826135,"67671"
"113","ROBERTSON QUAY","SINGAPORE RIVER",4,170.655337225528,0.00585976399131576,"06169"
"114","ROBINSON ROAD","DOWNTOWN CORE",6,34.4123602994319,0.0290593261054665,"03071"
"115","ROCHOR CANAL ROAD","ROCHOR",2,26.1220328583139,0.0382818598163477,"07531"
"116","ROCHOR ROAD","ROCHOR",7,26.3759141986429,0.0379133778063113,"07551"
"117","SAM LEONG ROAD","KALLANG",2,66.774151733207,0.014975854788773,"07231"
"118","SCOTTS ROAD","NEWTON",1,179.59585291025,0.0055680573008539,"40171"
"119","SELEGIE ROAD","ROCHOR",3,119.236718870934,0.00838667827720449,"07021"
"120","SEMBAWANG DRIVE","SEMBAWANG",4,51.4789354369607,0.0194254211263666,"58351"
"121","SEMBAWANG ROAD","MANDAI",4,110.68332534272,0.00903478457033705,"57111"
"122","SENGKANG SQUARE","SENGKANG",4,113.574687889353,0.00880477876350606,"67441"
"123","SENGKANG WEST AVENUE","SENGKANG",6,111.038110517513,0.00900591693553969,"67489"
"124","SERANGOON CENTRAL","SERANGOON",2,214.899430456873,0.00465333946150538,"66371"
"125","SERANGOON ROAD","KALLANG",2,191.315405383507,0.00522697060383308,"60089"
"126","SHENTON WAY","DOWNTOWN CORE",4,71.1408206033616,0.0140566272854146,"03217"
"127","SIMS AVENUE","GEYLANG",5,95.1665440574416,0.0105078944486669,"81011"
"128","SIMS DRIVE","GEYLANG",5,94.6879727647564,0.0105610033756284,"80229"
"129","SIN MING ROAD","BISHAN",5,27.9092171857915,0.0358304567750148,"53181"
"130","SINARAN DRIVE","NOVENA",2,206.092899156365,0.00485218075971307,"50111"
"131","SOMERSET ROAD","ORCHARD",3,47.8958601599096,0.0208786311940386,"08121"
"132","SOUTH BRIDGE ROAD","OUTRAM",7,57.386058670743,0.0174258351795438,"05199"
"133","SOUTH BUONA VISTA ROAD","QUEENSTOWN",5,2.18824357743419,0.456987517437407,"15101"
"134","STADIUM WALK","KALLANG",4,131.084624310368,0.00762865977044195,"80171"
"135","STAMFORD ROAD","MUSEUM",8,9.42215036669282,0.106132884859807,"04143"
"136","TAI SENG STREET","HOUGANG",2,152.085384745916,0.00657525377386305,"70289"
"137","TAI THONG CRESCENT","TOA PAYOH",7,109.794067360232,0.00910796023904479,"60211"
"138","TAMPINES CENTRAL 1","TAMPINES",7,99.4577573874866,0.0100545198913345,"76199"
"139","TAMPINES CENTRAL 5","TAMPINES",5,151.330039746127,0.00660807333215276,"76139"
