,Street_name,Planning_area,Time_taken_drive
0,ALBERT STREET,Bukit Timah,1125
1,ALEXANDRA ROAD,Bukit Timah,864
2,ANG MO KIO AVENUE 3,Bukit Timah,1277
3,ANSON ROAD,Bukit Timah,1277
4,BALESTIER ROAD,Bukit Timah,1014
5,BATTERY ROAD,Bukit Timah,1376
6,BAYFRONT AVENUE,Bukit Timah,1364
7,BEACH ROAD,Bukit Timah,1131
8,BEDOK NORTH STREET 1,Bukit Timah,1715
9,BEDOK ROAD,Bukit Timah,1844
10,BENCOOLEN STREET,Bukit Timah,1067
11,BIDADARI PARK DRIVE,Bukit Timah,1146
12,BRAS BASAH ROAD,Bukit Timah,1125
13,BROOKE ROAD,Bukit Timah,1534
14,BUKIT TIMAH ROAD,Bukit Timah,736
15,CAVAN ROAD,Bukit Timah,1216
16,CECIL STREET,Bukit Timah,1361
17,CENTRAL BOULEVARD,Bukit Timah,1390
18,CHANGI BUSINESS PARK CENTRAL 1,Bukit Timah,2029
19,CHANGI ROAD,Bukit Timah,1391
20,CHIN SWEE ROAD,Bukit Timah,1201
21,CHOA CHU KANG AVENUE 4,Bukit Timah,1153
22,CHOA CHU KANG NORTH 6,Bukit Timah,1255
23,CLAYMORE DRIVE,Bukit Timah,877
24,CLEMENCEAU AVENUE,Bukit Timah,1286
25,CLEMENTI AVENUE 3,Bukit Timah,713
26,COLEMAN STREET,Bukit Timah,1281
27,COLLYER QUAY,Bukit Timah,1371
28,COMMONWEALTH AVENUE WEST,Bukit Timah,651
29,COMPASSVALE BOW,Bukit Timah,1918
30,CROSS STREET,Bukit Timah,1366
31,CUSCADEN ROAD,Bukit Timah,854
32,EAST COAST ROAD,Bukit Timah,1701
33,EASTWOOD ROAD,Bukit Timah,2010
34,ENG HOON STREET,Bukit Timah,1153
35,ENGGOR STREET,Bukit Timah,1294
36,EU TONG SEN STREET,Bukit Timah,1259
37,FOCH ROAD,Bukit Timah,1174
38,GEYLANG ROAD,Bukit Timah,1297
39,GOLDHILL PLAZA,Bukit Timah,928
40,GOPENG STREET,Bukit Timah,1324
41,GUILLEMARD ROAD,Bukit Timah,1296
42,HANDY ROAD,Bukit Timah,1075
43,HAVELOCK ROAD,Bukit Timah,1128
44,HIGH STREET,Bukit Timah,1223
45,HOLLAND AVENUE,Bukit Timah,477
46,HOUGANG AVENUE 10,Bukit Timah,1761
47,HOUGANG STREET 51,Bukit Timah,1782
48,HOUGANG STREET 91,Bukit Timah,1732
49,IRRAWADDY ROAD,Bukit Timah,945
50,JALAN ANAK BUKIT,Bukit Timah,283
51,JALAN BESAR,Bukit Timah,1161
52,JALAN JURONG KECHIL,Bukit Timah,304
53,JALAN LEGUNDI,Bukit Timah,1973
54,JALAN MASJID,Bukit Timah,1480
55,JALAN SULTAN,Bukit Timah,1144
56,JELEBU ROAD,Bukit Timah,882
57,JOO CHIAT ROAD,Bukit Timah,1356
58,JOO KOON CIRCLE,Bukit Timah,1459
59,JURONG EAST STREET 21,Bukit Timah,747
60,JURONG GATEWAY ROAD,Bukit Timah,843
61,JURONG WEST CENTRAL 2,Bukit Timah,1103
62,JURONG WEST CENTRAL 3,Bukit Timah,1184
63,KALLANG AVENUE,Bukit Timah,1325
64,KELANTAN LANE,Bukit Timah,1135
65,KEPPEL ROAD,Bukit Timah,1280
66,KITCHENER ROAD,Bukit Timah,1125
67,KOEK ROAD,Bukit Timah,1030
68,LAVENDER STREET,Bukit Timah,1134
69,LORONG 22 GEYLANG,Bukit Timah,1266
70,LORONG 4 TOA PAYOH,Bukit Timah,977
71,LORONG KILAT,Bukit Timah,386
72,LORONG LIPUT,Bukit Timah,467
73,MACPHERSON ROAD,Bukit Timah,1038
74,MAJU AVENUE,Bukit Timah,1491
75,MARINA BOULEVARD,Bukit Timah,1369
76,MARINA VIEW,Bukit Timah,1393
77,MARINE PARADE ROAD,Bukit Timah,1648
78,MARITIME SQUARE,Bukit Timah,1318
79,MARKET STREET,Bukit Timah,1722
80,MARNE ROAD,Bukit Timah,1186
81,MERCHANT ROAD,Bukit Timah,1223
82,MIDDLE ROAD,Bukit Timah,1086
83,MOHAMED SULTAN ROAD,Bukit Timah,1168
84,MOUNTBATTEN ROAD,Bukit Timah,1328
85,NEW BRIDGE ROAD,Bukit Timah,1246
86,NEW UPPER CHANGI ROAD,Bukit Timah,1886
87,NORTH BRIDGE ROAD,Bukit Timah,1147
88,NORTH BUONA VISTA DRIVE,Bukit Timah,620
89,NORTHPOINT DRIVE,Bukit Timah,2008
90,OCEAN WAY,Bukit Timah,1833
91,ORCHARD ROAD,Bukit Timah,939
92,ORCHARD TURN,Bukit Timah,1039
93,OUTRAM ROAD,Bukit Timah,1192
94,PASIR PANJANG ROAD,Bukit Timah,952
95,PASIR RIS CENTRAL,Bukit Timah,2093
96,PASIR RIS CLOSE,Bukit Timah,2155
97,PAYA LEBAR ROAD,Bukit Timah,1294
98,PENANG ROAD,Bukit Timah,1066
99,PETIR ROAD,Bukit Timah,886
100,PUNGGOL CENTRAL,Bukit Timah,2184
101,QUEENSWAY,Bukit Timah,724
102,RACE COURSE ROAD,Bukit Timah,1152
103,RAFFLES AVENUE,Bukit Timah,1369
104,RAFFLES BOULEVARD,Bukit Timah,1234
105,RAFFLES LINK,Bukit Timah,1370
106,RAFFLES PLACE,Bukit Timah,1328
107,RAFFLES QUAY,Bukit Timah,1321
108,RANGOON ROAD,Bukit Timah,1079
109,RIVER VALLEY ROAD,Bukit Timah,1004
110,RIVERVALE CRESCENT,Bukit Timah,2073
111,ROBERTSON QUAY,Bukit Timah,1203
112,ROBINSON ROAD,Bukit Timah,1355
113,ROCHOR CANAL ROAD,Bukit Timah,1025
114,ROCHOR ROAD,Bukit Timah,1108
115,SAM LEONG ROAD,Bukit Timah,1165
116,SCOTTS ROAD,Bukit Timah,806
117,SELEGIE ROAD,Bukit Timah,1102
118,SEMBAWANG DRIVE,Bukit Timah,1921
119,SEMBAWANG ROAD,Bukit Timah,1947
120,SENGKANG SQUARE,Bukit Timah,1910
121,SENGKANG WEST AVENUE,Bukit Timah,1675
122,SERANGOON CENTRAL,Bukit Timah,1432
123,SERANGOON ROAD,Bukit Timah,1320
124,SHENTON WAY,Bukit Timah,1393
125,SIMS AVENUE,Bukit Timah,1315
126,SIMS DRIVE,Bukit Timah,1250
127,SIN MING ROAD,Bukit Timah,978
128,SINARAN DRIVE,Bukit Timah,1005
129,SOMERSET ROAD,Bukit Timah,1020
130,SOUTH BRIDGE ROAD,Bukit Timah,1245
131,SOUTH BUONA VISTA ROAD,Bukit Timah,821
132,STADIUM WALK,Bukit Timah,1489
133,STAMFORD ROAD,Bukit Timah,1224
134,TAI SENG STREET,Bukit Timah,1350
135,TAI THONG CRESCENT,Bukit Timah,1028
136,TAMPINES CENTRAL 1,Bukit Timah,1905
137,TAMPINES CENTRAL 5,Bukit Timah,1815
138,TAMPINES STREET 32,Bukit Timah,1821
139,TAN QUEE LAN STREET,Bukit Timah,1182
140,TANGLIN ROAD,Bukit Timah,902
141,TANJONG KATONG ROAD,Bukit Timah,1331
142,TELOK AYER STREET,Bukit Timah,1326
143,TELOK KURAU ROAD,Bukit Timah,1534
144,TEMASEK BOULEVARD,Bukit Timah,1305
145,TESSENSOHN ROAD,Bukit Timah,1130
146,THOMSON ROAD,Bukit Timah,890
147,TIONG BAHRU ROAD,Bukit Timah,1139
148,TRAS STREET,Bukit Timah,1313
149,UNITY STREET,Bukit Timah,1180
150,UPPER BUKIT TIMAH ROAD,Bukit Timah,881
151,UPPER CIRCULAR ROAD,Bukit Timah,1232
152,UPPER CROSS STREET,Bukit Timah,1263
153,UPPER SERANGOON ROAD,Bukit Timah,1503
154,UPPER THOMSON ROAD,Bukit Timah,1021
155,VICTORIA STREET,Bukit Timah,1084
156,WEST COAST DRIVE,Bukit Timah,873
157,WEST COAST ROAD,Bukit Timah,791
158,WILKIE ROAD,Bukit Timah,1050
159,WOODLANDS AVENUE 1,Bukit Timah,1362
160,WOODLANDS ROAD,Bukit Timah,1020
161,WOODLANDS SQUARE,Bukit Timah,1437
162,YIO CHU KANG ROAD,Bukit Timah,1411
163,YISHUN AVENUE 2,Bukit Timah,1932
164,YISHUN AVENUE 9,Bukit Timah,2007
165,YISHUN CENTRAL 1,Bukit Timah,1973
166,YISHUN RING ROAD,Bukit Timah,1974
167,ALBERT STREET,Bukit Batok,1609
168,ALEXANDRA ROAD,Bukit Batok,1273
169,ANG MO KIO AVENUE 3,Bukit Batok,1577
170,ANSON ROAD,Bukit Batok,1476
171,BALESTIER ROAD,Bukit Batok,1366
172,BATTERY ROAD,Bukit Batok,1645
173,BAYFRONT AVENUE,Bukit Batok,1707
174,BEACH ROAD,Bukit Batok,1603
175,BEDOK NORTH STREET 1,Bukit Batok,1997
176,BEDOK ROAD,Bukit Batok,2134
177,BENCOOLEN STREET,Bukit Batok,1539
178,BIDADARI PARK DRIVE,Bukit Batok,1423
179,BRAS BASAH ROAD,Bukit Batok,1598
180,BROOKE ROAD,Bukit Batok,1827
181,BUKIT TIMAH ROAD,Bukit Batok,738
182,CAVAN ROAD,Bukit Batok,1537
183,CECIL STREET,Bukit Batok,1561
184,CENTRAL BOULEVARD,Bukit Batok,1658
185,CHANGI BUSINESS PARK CENTRAL 1,Bukit Batok,2305
186,CHANGI ROAD,Bukit Batok,1674
187,CHIN SWEE ROAD,Bukit Batok,1533
188,CHOA CHU KANG AVENUE 4,Bukit Batok,524
189,CHOA CHU KANG NORTH 6,Bukit Batok,700
190,CLAYMORE DRIVE,Bukit Batok,1362
191,CLEMENCEAU AVENUE,Bukit Batok,1484
192,CLEMENTI AVENUE 3,Bukit Batok,719
193,COLEMAN STREET,Bukit Batok,1579
194,COLLYER QUAY,Bukit Batok,1624
195,COMMONWEALTH AVENUE WEST,Bukit Batok,758
196,COMPASSVALE BOW,Bukit Batok,2086
197,CROSS STREET,Bukit Batok,1602
198,CUSCADEN ROAD,Bukit Batok,1383
199,EAST COAST ROAD,Bukit Batok,2001
200,EASTWOOD ROAD,Bukit Batok,2232
201,ENG HOON STREET,Bukit Batok,1352
202,ENGGOR STREET,Bukit Batok,1490
203,EU TONG SEN STREET,Bukit Batok,1486
204,FOCH ROAD,Bukit Batok,1495
205,GEYLANG ROAD,Bukit Batok,1581
206,GOLDHILL PLAZA,Bukit Batok,1261
207,GOPENG STREET,Bukit Batok,1513
208,GUILLEMARD ROAD,Bukit Batok,1649
209,HANDY ROAD,Bukit Batok,1540
210,HAVELOCK ROAD,Bukit Batok,1496
211,HIGH STREET,Bukit Batok,1513
212,HOLLAND AVENUE,Bukit Batok,1070
213,HOUGANG AVENUE 10,Bukit Batok,2044
214,HOUGANG STREET 51,Bukit Batok,2027
215,HOUGANG STREET 91,Bukit Batok,1944
216,IRRAWADDY ROAD,Bukit Batok,1227
217,JALAN ANAK BUKIT,Bukit Batok,521
218,JALAN BESAR,Bukit Batok,1553
219,JALAN JURONG KECHIL,Bukit Batok,411
220,JALAN LEGUNDI,Bukit Batok,1971
221,JALAN MASJID,Bukit Batok,1752
222,JALAN SULTAN,Bukit Batok,1615
223,JELEBU ROAD,Bukit Batok,512
224,JOO CHIAT ROAD,Bukit Batok,1663
225,JOO KOON CIRCLE,Bukit Batok,1256
226,JURONG EAST STREET 21,Bukit Batok,369
227,JURONG GATEWAY ROAD,Bukit Batok,574
228,JURONG WEST CENTRAL 2,Bukit Batok,809
229,JURONG WEST CENTRAL 3,Bukit Batok,840
230,KALLANG AVENUE,Bukit Batok,1547
231,KELANTAN LANE,Bukit Batok,1574
232,KEPPEL ROAD,Bukit Batok,1482
233,KITCHENER ROAD,Bukit Batok,1529
234,KOEK ROAD,Bukit Batok,1502
235,LAVENDER STREET,Bukit Batok,1456
236,LORONG 22 GEYLANG,Bukit Batok,1549
237,LORONG 4 TOA PAYOH,Bukit Batok,1259
238,LORONG KILAT,Bukit Batok,459
239,LORONG LIPUT,Bukit Batok,1130
240,MACPHERSON ROAD,Bukit Batok,1317
241,MAJU AVENUE,Bukit Batok,1798
242,MARINA BOULEVARD,Bukit Batok,1777
243,MARINA VIEW,Bukit Batok,1624
244,MARINE PARADE ROAD,Bukit Batok,1933
245,MARITIME SQUARE,Bukit Batok,1485
246,MARKET STREET,Bukit Batok,2004
247,MARNE ROAD,Bukit Batok,1548
248,MERCHANT ROAD,Bukit Batok,1411
249,MIDDLE ROAD,Bukit Batok,1556
250,MOHAMED SULTAN ROAD,Bukit Batok,1463
251,MOUNTBATTEN ROAD,Bukit Batok,1767
252,NEW BRIDGE ROAD,Bukit Batok,1497
253,NEW UPPER CHANGI ROAD,Bukit Batok,2168
254,NORTH BRIDGE ROAD,Bukit Batok,1624
255,NORTH BUONA VISTA DRIVE,Bukit Batok,1067
256,NORTHPOINT DRIVE,Bukit Batok,2002
257,OCEAN WAY,Bukit Batok,2029
258,ORCHARD ROAD,Bukit Batok,1416
259,ORCHARD TURN,Bukit Batok,1508
260,OUTRAM ROAD,Bukit Batok,1401
261,PASIR PANJANG ROAD,Bukit Batok,1218
262,PASIR RIS CENTRAL,Bukit Batok,2374
263,PASIR RIS CLOSE,Bukit Batok,2426
264,PAYA LEBAR ROAD,Bukit Batok,1531
265,PENANG ROAD,Bukit Batok,1529
266,PETIR ROAD,Bukit Batok,598
267,PUNGGOL CENTRAL,Bukit Batok,2413
268,QUEENSWAY,Bukit Batok,1241
269,RACE COURSE ROAD,Bukit Batok,1511
270,RAFFLES AVENUE,Bukit Batok,1777
271,RAFFLES BOULEVARD,Bukit Batok,1703
272,RAFFLES LINK,Bukit Batok,1839
273,RAFFLES PLACE,Bukit Batok,1582
274,RAFFLES QUAY,Bukit Batok,1673
275,RANGOON ROAD,Bukit Batok,1454
276,RIVER VALLEY ROAD,Bukit Batok,1442
277,RIVERVALE CRESCENT,Bukit Batok,2327
278,ROBERTSON QUAY,Bukit Batok,1535
279,ROBINSON ROAD,Bukit Batok,1554
280,ROCHOR CANAL ROAD,Bukit Batok,1497
281,ROCHOR ROAD,Bukit Batok,1573
282,SAM LEONG ROAD,Bukit Batok,1546
283,SCOTTS ROAD,Bukit Batok,1273
284,SELEGIE ROAD,Bukit Batok,1573
285,SEMBAWANG DRIVE,Bukit Batok,1884
286,SEMBAWANG ROAD,Bukit Batok,1816
287,SENGKANG SQUARE,Bukit Batok,2184
288,SENGKANG WEST AVENUE,Bukit Batok,1960
289,SERANGOON CENTRAL,Bukit Batok,1657
290,SERANGOON ROAD,Bukit Batok,1342
291,SHENTON WAY,Bukit Batok,1631
292,SIMS AVENUE,Bukit Batok,1597
293,SIMS DRIVE,Bukit Batok,1531
294,SIN MING ROAD,Bukit Batok,1291
295,SINARAN DRIVE,Bukit Batok,1279
296,SOMERSET ROAD,Bukit Batok,1485
297,SOUTH BRIDGE ROAD,Bukit Batok,1498
298,SOUTH BUONA VISTA ROAD,Bukit Batok,1089
299,STADIUM WALK,Bukit Batok,1777
300,STAMFORD ROAD,Bukit Batok,1539
301,TAI SENG STREET,Bukit Batok,1619
302,TAI THONG CRESCENT,Bukit Batok,1309
303,TAMPINES CENTRAL 1,Bukit Batok,2188
304,TAMPINES CENTRAL 5,Bukit Batok,2096
305,TAMPINES STREET 32,Bukit Batok,2050
306,TAN QUEE LAN STREET,Bukit Batok,1656
307,TANGLIN ROAD,Bukit Batok,1319
308,TANJONG KATONG ROAD,Bukit Batok,1615
309,TELOK AYER STREET,Bukit Batok,1582
310,TELOK KURAU ROAD,Bukit Batok,1820
311,TEMASEK BOULEVARD,Bukit Batok,1704
312,TESSENSOHN ROAD,Bukit Batok,1526
313,THOMSON ROAD,Bukit Batok,1276
314,TIONG BAHRU ROAD,Bukit Batok,1338
315,TRAS STREET,Bukit Batok,1511
316,UNITY STREET,Bukit Batok,1428
317,UPPER BUKIT TIMAH ROAD,Bukit Batok,502
318,UPPER CIRCULAR ROAD,Bukit Batok,1503
319,UPPER CROSS STREET,Bukit Batok,1504
320,UPPER SERANGOON ROAD,Bukit Batok,1786
321,UPPER THOMSON ROAD,Bukit Batok,1333
322,VICTORIA STREET,Bukit Batok,1554
323,WEST COAST DRIVE,Bukit Batok,895
324,WEST COAST ROAD,Bukit Batok,845
325,WILKIE ROAD,Bukit Batok,1523
326,WOODLANDS AVENUE 1,Bukit Batok,1362
327,WOODLANDS ROAD,Bukit Batok,1014
328,WOODLANDS SQUARE,Bukit Batok,1438
329,YIO CHU KANG ROAD,Bukit Batok,1718
330,YISHUN AVENUE 2,Bukit Batok,1932
331,YISHUN AVENUE 9,Bukit Batok,2004
332,YISHUN CENTRAL 1,Bukit Batok,1979
333,YISHUN RING ROAD,Bukit Batok,1972
334,ALBERT STREET,Bukit Merah,648
335,ALEXANDRA ROAD,Bukit Merah,348
336,ANG MO KIO AVENUE 3,Bukit Merah,1069
337,ANSON ROAD,Bukit Merah,398
338,BALESTIER ROAD,Bukit Merah,672
339,BATTERY ROAD,Bukit Merah,597
340,BAYFRONT AVENUE,Bukit Merah,675
341,BEACH ROAD,Bukit Merah,720
342,BEDOK NORTH STREET 1,Bukit Merah,1454
343,BEDOK ROAD,Bukit Merah,1563
344,BENCOOLEN STREET,Bukit Merah,646
345,BIDADARI PARK DRIVE,Bukit Merah,1031
346,BRAS BASAH ROAD,Bukit Merah,581
347,BROOKE ROAD,Bukit Merah,1108
348,BUKIT TIMAH ROAD,Bukit Merah,1539
349,CAVAN ROAD,Bukit Merah,832
350,CECIL STREET,Bukit Merah,481
351,CENTRAL BOULEVARD,Bukit Merah,572
352,CHANGI BUSINESS PARK CENTRAL 1,Bukit Merah,1793
353,CHANGI ROAD,Bukit Merah,1250
354,CHIN SWEE ROAD,Bukit Merah,464
355,CHOA CHU KANG AVENUE 4,Bukit Merah,1804
356,CHOA CHU KANG NORTH 6,Bukit Merah,2036
357,CLAYMORE DRIVE,Bukit Merah,610
358,CLEMENCEAU AVENUE,Bukit Merah,916
359,CLEMENTI AVENUE 3,Bukit Merah,828
360,COLEMAN STREET,Bukit Merah,555
361,COLLYER QUAY,Bukit Merah,593
362,COMMONWEALTH AVENUE WEST,Bukit Merah,744
363,COMPASSVALE BOW,Bukit Merah,1703
364,CROSS STREET,Bukit Merah,517
365,CUSCADEN ROAD,Bukit Merah,548
366,EAST COAST ROAD,Bukit Merah,1183
367,EASTWOOD ROAD,Bukit Merah,1581
368,ENG HOON STREET,Bukit Merah,331
369,ENGGOR STREET,Bukit Merah,414
370,EU TONG SEN STREET,Bukit Merah,422
371,FOCH ROAD,Bukit Merah,804
372,GEYLANG ROAD,Bukit Merah,1157
373,GOLDHILL PLAZA,Bukit Merah,723
374,GOPENG STREET,Bukit Merah,445
375,GUILLEMARD ROAD,Bukit Merah,1046
376,HANDY ROAD,Bukit Merah,569
377,HAVELOCK ROAD,Bukit Merah,369
378,HIGH STREET,Bukit Merah,494
379,HOLLAND AVENUE,Bukit Merah,731
380,HOUGANG AVENUE 10,Bukit Merah,1612
381,HOUGANG STREET 51,Bukit Merah,1562
382,HOUGANG STREET 91,Bukit Merah,1512
383,IRRAWADDY ROAD,Bukit Merah,820
384,JALAN ANAK BUKIT,Bukit Merah,1086
385,JALAN BESAR,Bukit Merah,809
386,JALAN JURONG KECHIL,Bukit Merah,1111
387,JALAN LEGUNDI,Bukit Merah,2168
388,JALAN MASJID,Bukit Merah,1340
389,JALAN SULTAN,Bukit Merah,732
390,JELEBU ROAD,Bukit Merah,1592
391,JOO CHIAT ROAD,Bukit Merah,1215
392,JOO KOON CIRCLE,Bukit Merah,1429
393,JURONG EAST STREET 21,Bukit Merah,1075
394,JURONG GATEWAY ROAD,Bukit Merah,1053
395,JURONG WEST CENTRAL 2,Bukit Merah,1380
396,JURONG WEST CENTRAL 3,Bukit Merah,1520
397,KALLANG AVENUE,Bukit Merah,922
398,KELANTAN LANE,Bukit Merah,806
399,KEPPEL ROAD,Bukit Merah,396
400,KITCHENER ROAD,Bukit Merah,813
401,KOEK ROAD,Bukit Merah,554
402,LAVENDER STREET,Bukit Merah,764
403,LORONG 22 GEYLANG,Bukit Merah,1054
404,LORONG 4 TOA PAYOH,Bukit Merah,1117
405,LORONG KILAT,Bukit Merah,1193
406,LORONG LIPUT,Bukit Merah,791
407,MACPHERSON ROAD,Bukit Merah,922
408,MAJU AVENUE,Bukit Merah,1297
409,MARINA BOULEVARD,Bukit Merah,728
410,MARINA VIEW,Bukit Merah,615
411,MARINE PARADE ROAD,Bukit Merah,1097
412,MARITIME SQUARE,Bukit Merah,299
413,MARKET STREET,Bukit Merah,1566
414,MARNE ROAD,Bukit Merah,854
415,MERCHANT ROAD,Bukit Merah,500
416,MIDDLE ROAD,Bukit Merah,645
417,MOHAMED SULTAN ROAD,Bukit Merah,439
418,MOUNTBATTEN ROAD,Bukit Merah,864
419,NEW BRIDGE ROAD,Bukit Merah,413
420,NEW UPPER CHANGI ROAD,Bukit Merah,1592
421,NORTH BRIDGE ROAD,Bukit Merah,735
422,NORTH BUONA VISTA DRIVE,Bukit Merah,732
423,NORTHPOINT DRIVE,Bukit Merah,2014
424,OCEAN WAY,Bukit Merah,780
425,ORCHARD ROAD,Bukit Merah,502
426,ORCHARD TURN,Bukit Merah,493
427,OUTRAM ROAD,Bukit Merah,339
428,PASIR PANJANG ROAD,Bukit Merah,645
429,PASIR RIS CENTRAL,Bukit Merah,1953
430,PASIR RIS CLOSE,Bukit Merah,2014
431,PAYA LEBAR ROAD,Bukit Merah,1179
432,PENANG ROAD,Bukit Merah,481
433,PETIR ROAD,Bukit Merah,1587
434,PUNGGOL CENTRAL,Bukit Merah,2031
435,QUEENSWAY,Bukit Merah,778
436,RACE COURSE ROAD,Bukit Merah,820
437,RAFFLES AVENUE,Bukit Merah,728
438,RAFFLES BOULEVARD,Bukit Merah,676
439,RAFFLES LINK,Bukit Merah,811
440,RAFFLES PLACE,Bukit Merah,543
441,RAFFLES QUAY,Bukit Merah,544
442,RANGOON ROAD,Bukit Merah,763
443,RIVER VALLEY ROAD,Bukit Merah,315
444,RIVERVALE CRESCENT,Bukit Merah,1903
445,ROBERTSON QUAY,Bukit Merah,480
446,ROBINSON ROAD,Bukit Merah,475
447,ROCHOR CANAL ROAD,Bukit Merah,687
448,ROCHOR ROAD,Bukit Merah,657
449,SAM LEONG ROAD,Bukit Merah,816
450,SCOTTS ROAD,Bukit Merah,532
451,SELEGIE ROAD,Bukit Merah,626
452,SEMBAWANG DRIVE,Bukit Merah,2414
453,SEMBAWANG ROAD,Bukit Merah,2101
454,SENGKANG SQUARE,Bukit Merah,1691
455,SENGKANG WEST AVENUE,Bukit Merah,1455
456,SERANGOON CENTRAL,Bukit Merah,1233
457,SERANGOON ROAD,Bukit Merah,999
458,SHENTON WAY,Bukit Merah,541
459,SIMS AVENUE,Bukit Merah,1104
460,SIMS DRIVE,Bukit Merah,1038
461,SIN MING ROAD,Bukit Merah,1258
462,SINARAN DRIVE,Bukit Merah,748
463,SOMERSET ROAD,Bukit Merah,550
464,SOUTH BRIDGE ROAD,Bukit Merah,470
465,SOUTH BUONA VISTA ROAD,Bukit Merah,569
466,STADIUM WALK,Bukit Merah,1076
467,STAMFORD ROAD,Bukit Merah,524
468,TAI SENG STREET,Bukit Merah,1235
469,TAI THONG CRESCENT,Bukit Merah,913
470,TAMPINES CENTRAL 1,Bukit Merah,1765
471,TAMPINES CENTRAL 5,Bukit Merah,1674
472,TAMPINES STREET 32,Bukit Merah,1681
473,TAN QUEE LAN STREET,Bukit Merah,668
474,TANGLIN ROAD,Bukit Merah,382
475,TANJONG KATONG ROAD,Bukit Merah,1111
476,TELOK AYER STREET,Bukit Merah,551
477,TELOK KURAU ROAD,Bukit Merah,1168
478,TEMASEK BOULEVARD,Bukit Merah,750
479,TESSENSOHN ROAD,Bukit Merah,837
480,THOMSON ROAD,Bukit Merah,708
481,TIONG BAHRU ROAD,Bukit Merah,317
482,TRAS STREET,Bukit Merah,433
483,UNITY STREET,Bukit Merah,414
484,UPPER BUKIT TIMAH ROAD,Bukit Merah,1623
485,UPPER CIRCULAR ROAD,Bukit Merah,484
486,UPPER CROSS STREET,Bukit Merah,430
487,UPPER SERANGOON ROAD,Bukit Merah,1387
488,UPPER THOMSON ROAD,Bukit Merah,1301
489,VICTORIA STREET,Bukit Merah,622
490,WEST COAST DRIVE,Bukit Merah,793
491,WEST COAST ROAD,Bukit Merah,712
492,WILKIE ROAD,Bukit Merah,680
493,WOODLANDS AVENUE 1,Bukit Merah,2017
494,WOODLANDS ROAD,Bukit Merah,1692
495,WOODLANDS SQUARE,Bukit Merah,2119
496,YIO CHU KANG ROAD,Bukit Merah,1217
497,YISHUN AVENUE 2,Bukit Merah,1912
498,YISHUN AVENUE 9,Bukit Merah,2025
499,YISHUN CENTRAL 1,Bukit Merah,1991
500,YISHUN RING ROAD,Bukit Merah,2134
501,ALBERT STREET,Central Water Catchment,2001
502,ALEXANDRA ROAD,Central Water Catchment,2297
503,ANG MO KIO AVENUE 3,Central Water Catchment,1369
504,ANSON ROAD,Central Water Catchment,2171
505,BALESTIER ROAD,Central Water Catchment,1729
506,BATTERY ROAD,Central Water Catchment,2167
507,BAYFRONT AVENUE,Central Water Catchment,2229
508,BEACH ROAD,Central Water Catchment,2000
509,BEDOK NORTH STREET 1,Central Water Catchment,2378
510,BEDOK ROAD,Central Water Catchment,2331
511,BENCOOLEN STREET,Central Water Catchment,1936
512,BIDADARI PARK DRIVE,Central Water Catchment,1709
513,BRAS BASAH ROAD,Central Water Catchment,1966
514,BROOKE ROAD,Central Water Catchment,2208
515,BUKIT TIMAH ROAD,Central Water Catchment,1739
516,CAVAN ROAD,Central Water Catchment,1817
517,CECIL STREET,Central Water Catchment,2169
518,CENTRAL BOULEVARD,Central Water Catchment,2223
519,CHANGI BUSINESS PARK CENTRAL 1,Central Water Catchment,2257
520,CHANGI ROAD,Central Water Catchment,2055
521,CHIN SWEE ROAD,Central Water Catchment,2064
522,CHOA CHU KANG AVENUE 4,Central Water Catchment,1904
523,CHOA CHU KANG NORTH 6,Central Water Catchment,1875
524,CLAYMORE DRIVE,Central Water Catchment,2051
525,CLEMENCEAU AVENUE,Central Water Catchment,1918
526,CLEMENTI AVENUE 3,Central Water Catchment,2458
527,COLEMAN STREET,Central Water Catchment,2121
528,COLLYER QUAY,Central Water Catchment,2145
529,COMMONWEALTH AVENUE WEST,Central Water Catchment,2435
530,COMPASSVALE BOW,Central Water Catchment,1592
531,CROSS STREET,Central Water Catchment,2149
532,CUSCADEN ROAD,Central Water Catchment,2087
533,EAST COAST ROAD,Central Water Catchment,2382
534,EASTWOOD ROAD,Central Water Catchment,2415
535,ENG HOON STREET,Central Water Catchment,2019
536,ENGGOR STREET,Central Water Catchment,2186
537,EU TONG SEN STREET,Central Water Catchment,2073
538,FOCH ROAD,Central Water Catchment,1775
539,GEYLANG ROAD,Central Water Catchment,1963
540,GOLDHILL PLAZA,Central Water Catchment,1818
541,GOPENG STREET,Central Water Catchment,2204
542,GUILLEMARD ROAD,Central Water Catchment,2031
543,HANDY ROAD,Central Water Catchment,1908
544,HAVELOCK ROAD,Central Water Catchment,2196
545,HIGH STREET,Central Water Catchment,2058
546,HOLLAND AVENUE,Central Water Catchment,2165
547,HOUGANG AVENUE 10,Central Water Catchment,1812
548,HOUGANG STREET 51,Central Water Catchment,1571
549,HOUGANG STREET 91,Central Water Catchment,1529
550,IRRAWADDY ROAD,Central Water Catchment,1791
551,JALAN ANAK BUKIT,Central Water Catchment,2084
552,JALAN BESAR,Central Water Catchment,1833
553,JALAN JURONG KECHIL,Central Water Catchment,2039
554,JALAN LEGUNDI,Central Water Catchment,1340
555,JALAN MASJID,Central Water Catchment,2133
556,JALAN SULTAN,Central Water Catchment,1897
557,JELEBU ROAD,Central Water Catchment,1834
