YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-02,WEEKENDS/HOLIDAY,17,TRAIN,EW18,8065,7934
2025-02,WEEKENDS/HOLIDAY,10,TRAIN,CC17/TE9,2499,1763
2025-02,WEEKENDS/HOLIDAY,11,TRAIN,EW14/NS26,7766,12724
2025-02,WEEKDAY,7,TRAIN,EW15,10470,67397
2025-02,WEEKENDS/HOLIDAY,17,TRAIN,CC25,3467,2259
2025-02,WEEKENDS/HOLIDAY,23,TRAIN,SE4,113,654
2025-02,WEEKENDS/HOLIDAY,12,TRAIN,DT6,3540,2172
2025-02,WEEKDAY,16,TRAIN,NE16/STC,42972,57669
2025-02,WEEKENDS/HOLIDAY,20,TRAIN,NS13,14858,23220
2025-02,WEEKENDS/HOLIDAY,16,TRAIN,SE5,1131,1136
2025-02,WEEKDAY,10,TRAIN,DT5,12295,9265
2025-02,WEEKENDS/HOLIDAY,15,TRAIN,NS19,15750,16634
2025-02,WEEKDAY,13,TRAIN,SW7,3072,2578
2025-02,WEEKDAY,20,TRAIN,EW10,7121,18875
2025-02,WEEKENDS/HOLIDAY,15,TRAIN,TE26,7541,6106
2025-02,WEEKENDS/HOLIDAY,14,TRAIN,NE17/PTC,22198,20733
2025-02,WEEKDAY,12,TRAIN,CC19/DT9,7342,7353
2025-02,WEEKDAY,19,TRAIN,NS24/NE6/CC1,63324,47756
2025-02,WEEKDAY,16,TRAIN,CC7,9245,7378
2025-02,WEEKDAY,7,TRAIN,NS9/TE2,154491,76424
2025-02,WEEKENDS/HOLIDAY,14,TRAIN,PE4,796,920
2025-02,WEEKENDS/HOLIDAY,23,TRAIN,TE13,542,472
2025-02,WEEKDAY,23,TRAIN,BP13,18,129
2025-02,WEEKENDS/HOLIDAY,18,TRAIN,CC21,4841,5998
2025-02,WEEKDAY,7,TRAIN,EW7,36744,18281
2025-02,WEEKENDS/HOLIDAY,16,TRAIN,NE10,6637,6904
2025-02,WEEKDAY,17,TRAIN,PE6,9258,11273
2025-02,WEEKENDS/HOLIDAY,23,TRAIN,BP13,0,1
2025-02,WEEKDAY,10,TRAIN,BP13,1586,660
2025-02,WEEKENDS/HOLIDAY,18,TRAIN,NS10,13693,18510
2025-02,WEEKDAY,23,TRAIN,TE13,1252,1112
2025-02,WEEKDAY,7,TRAIN,NS13,161622,57351
2025-02,WEEKENDS/HOLIDAY,10,TRAIN,EW30,672,256
2025-02,WEEKENDS/HOLIDAY,7,TRAIN,SW6,1265,365
2025-02,WEEKDAY,17,TRAIN,NE12/CC13,71861,115181
2025-02,WEEKDAY,12,TRAIN,DT10,3723,2454
2025-02,WEEKDAY,6,TRAIN,PW5,7459,2085
2025-02,WEEKENDS/HOLIDAY,17,TRAIN,TE11,1714,1718
2025-02,WEEKENDS/HOLIDAY,21,TRAIN,NE17/PTC,13364,15345
2025-02,WEEKENDS/HOLIDAY,13,TRAIN,CC17/TE9,2348,2162
2025-02,WEEKENDS/HOLIDAY,21,TRAIN,SW7,269,1144
2025-02,WEEKDAY,9,TRAIN,EW7,24704,15152
2025-02,WEEKDAY,15,TRAIN,EW21/CC22,31177,18065
2025-02,WEEKENDS/HOLIDAY,6,TRAIN,EW1,5002,1518
2025-02,WEEKDAY,16,TRAIN,CC14,14907,8969
2025-02,WEEKDAY,18,TRAIN,CE1/DT16,53188,50185
2025-02,WEEKDAY,20,TRAIN,BP11,1285,5462
2025-02,WEEKENDS/HOLIDAY,20,TRAIN,BP6/DT1,9723,18452
2025-02,WEEKENDS/HOLIDAY,18,TRAIN,TE12,1680,1091
2025-02,WEEKDAY,23,TRAIN,NS28,261,315
2025-02,WEEKENDS/HOLIDAY,22,TRAIN,TE7,605,1754
2025-02,WEEKDAY,6,TRAIN,EW5,38516,15103
2025-02,WEEKENDS/HOLIDAY,16,TRAIN,SW5,3483,3731
2025-02,WEEKENDS/HOLIDAY,21,TRAIN,EW7,2653,7651
2025-02,WEEKDAY,23,TRAIN,SE4,180,1874
2025-02,WEEKDAY,6,TRAIN,TE19,742,6391
2025-02,WEEKDAY,18,TRAIN,NS25/EW13,129327,102609
2025-02,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1235,7208
2025-02,WEEKENDS/HOLIDAY,8,TRAIN,EW32,1862,2199
2025-02,WEEKDAY,11,TRAIN,CC3,4752,10640
2025-02,WEEKENDS/HOLIDAY,17,TRAIN,EW25,7033,7744
2025-02,WEEKENDS/HOLIDAY,8,TRAIN,DT30,3911,1411
2025-02,WEEKDAY,23,TRAIN,EW14/NS26,21409,2358
2025-02,WEEKENDS/HOLIDAY,9,TRAIN,DT2,1214,397
2025-02,WEEKENDS/HOLIDAY,6,TRAIN,TE11,403,261
2025-02,WEEKDAY,12,TRAIN,NE7/DT12,41309,36083
2025-02,WEEKDAY,11,TRAIN,NS23,17476,38631
2025-02,WEEKENDS/HOLIDAY,20,TRAIN,TE23,2383,1143
2025-02,WEEKDAY,6,TRAIN,NE14,43934,14681
2025-02,WEEKENDS/HOLIDAY,10,TRAIN,CC4/DT15,1968,8875
2025-02,WEEKENDS/HOLIDAY,21,TRAIN,NE9,4372,8521
2025-02,WEEKENDS/HOLIDAY,19,TRAIN,NS28,1508,611
2025-02,WEEKDAY,16,TRAIN,EW30,6947,641
2025-02,WEEKENDS/HOLIDAY,9,TRAIN,EW27,16709,10295
