,Street_name,Planning_area,Time_taken
196,COMPASSVALE BOW,Yishun,2927
197,CROSS STREET,Yishun,2949
198,CUSCADEN ROAD,Yishun,2796
199,EAST COAST ROAD,Yishun,4181
200,EASTWOOD ROAD,Yishun,4520
201,ENG HOON STREET,Yishun,3158
202,ENGGOR STREET,Yishun,3357
203,EU TONG SEN STREET,Yishun,2929
204,FOCH ROAD,Yishun,2955
205,GEYLANG ROAD,Yishun,3184
206,GOLDHILL PLAZA,Yishun,2127
207,GOPENG STREET,Yishun,3022
208,GUILLEMARD ROAD,Yishun,3485
209,HANDY ROAD,Yishun,2431
210,HAVELOCK ROAD,Yishun,3195
211,HIGH STREET,Yishun,2834
212,HOLLAND AVENUE,Yishun,2972
213,HOUGANG AVENUE 10,Yishun,3439
214,HOUGANG STREET 51,Yishun,3062
215,HOUGANG STREET 91,Yishun,2729
216,IRRAWADDY ROAD,Yishun,2040
217,JALAN ANAK BUKIT,Yishun,3791
218,JALAN BESAR,Yishun,3308
219,JALAN JURONG KECHIL,Yishun,3707
220,JALAN LEGUNDI,Yishun,1763
221,JALAN MASJID,Yishun,3246
222,JALAN SULTAN,Yishun,3335
223,JELEBU ROAD,Yishun,3596
224,JOO CHIAT ROAD,Yishun,4084
225,JOO KOON CIRCLE,Yishun,4846
226,JURONG EAST STREET 21,Yishun,3515
227,JURONG GATEWAY ROAD,Yishun,3235
228,JURONG WEST CENTRAL 2,Yishun,3783
229,JURONG WEST CENTRAL 3,Yishun,3889
230,KALLANG AVENUE,Yishun,3210
231,KELANTAN LANE,Yishun,3421
232,KEPPEL ROAD,Yishun,3487
233,KITCHENER ROAD,Yishun,3332
234,KOEK ROAD,Yishun,2471
235,LAVENDER STREET,Yishun,2841
236,LORONG 22 GEYLANG,Yishun,3543
237,LORONG 4 TOA PAYOH,Yishun,2229
238,LORONG KILAT,Yishun,3797
239,LORONG LIPUT,Yishun,2996
240,MACPHERSON ROAD,Yishun,2810
241,MAJU AVENUE,Yishun,2769
242,MARINA BOULEVARD,Yishun,3445
243,MARINA VIEW,Yishun,3063
244,MARINE PARADE ROAD,Yishun,3984
