,Street_name,Planning_area,Time_taken
227,JURONG GATEWAY ROAD,Bukit Timah,2516
228,JURONG WEST CENTRAL 2,Bukit Timah,2916
229,JURONG WEST CENTRAL 3,Bukit Timah,3022
230,KALLANG AVENUE,Bukit Timah,3048
231,KELANTAN LANE,Bukit Timah,2426
232,KEPPEL ROAD,Bukit Timah,3019
233,KITCHENER ROAD,Bukit Timah,2561
234,KOEK ROAD,Bukit Timah,2341
235,LAVENDER STREET,Bukit Timah,2569
236,LORONG 22 GEYLANG,Bukit Timah,3095
237,LORONG 4 TOA PAYOH,Bukit Timah,2521
238,LORONG KILAT,Bukit Timah,1157
239,LORONG LIPUT,Bukit Timah,1669
240,MACPHERSON ROAD,Bukit Timah,2550
241,MAJU AVENUE,Bukit Timah,3543
242,MARINA BOULEVARD,Bukit Timah,2554
243,MARINA VIEW,Bukit Timah,2176
244,MARINE PARADE ROAD,Bukit Timah,3821
245,MARITIME SQUARE,Bukit Timah,3040
246,MARKET STREET,Bukit Timah,3785
247,MARNE ROAD,Bukit Timah,2494
248,MERCHANT ROAD,Bukit Timah,2642
249,MIDDLE ROAD,Bukit Timah,2282
250,MOHAMED SULTAN ROAD,Bukit Timah,2834
251,MOUNTBATTEN ROAD,Bukit Timah,2857
252,NEW BRIDGE ROAD,Bukit Timah,2394
253,NEW UPPER CHANGI ROAD,Bukit Timah,3980
254,NORTH BRIDGE ROAD,Bukit Timah,2306
255,NORTH BUONA VISTA DRIVE,Bukit Timah,2036
256,NORTHPOINT DRIVE,Bukit Timah,3701
257,OCEAN WAY,Bukit Timah,5686
258,ORCHARD ROAD,Bukit Timah,2193
259,ORCHARD TURN,Bukit Timah,2146
260,OUTRAM ROAD,Bukit Timah,2213
261,PASIR PANJANG ROAD,Bukit Timah,2586
262,PASIR RIS CENTRAL,Bukit Timah,5073
263,PASIR RIS CLOSE,Bukit Timah,4777
264,PAYA LEBAR ROAD,Bukit Timah,2600
265,PENANG ROAD,Bukit Timah,2385
266,PETIR ROAD,Bukit Timah,2258
267,PUNGGOL CENTRAL,Bukit Timah,3958
268,QUEENSWAY,Bukit Timah,1911
269,RACE COURSE ROAD,Bukit Timah,2544
270,RAFFLES AVENUE,Bukit Timah,2341
271,RAFFLES BOULEVARD,Bukit Timah,2214
272,RAFFLES LINK,Bukit Timah,2199
273,RAFFLES PLACE,Bukit Timah,2304
274,RAFFLES QUAY,Bukit Timah,2348
275,RANGOON ROAD,Bukit Timah,2362
276,RIVER VALLEY ROAD,Bukit Timah,2903
277,RIVERVALE CRESCENT,Bukit Timah,3738
278,ROBERTSON QUAY,Bukit Timah,3201
279,ROBINSON ROAD,Bukit Timah,2513
280,ROCHOR CANAL ROAD,Bukit Timah,2015
281,ROCHOR ROAD,Bukit Timah,2091
282,SAM LEONG ROAD,Bukit Timah,2509
283,SCOTTS ROAD,Bukit Timah,1978
284,SELEGIE ROAD,Bukit Timah,2317
285,SEMBAWANG DRIVE,Bukit Timah,4537
286,SEMBAWANG ROAD,Bukit Timah,3840
287,SENGKANG SQUARE,Bukit Timah,3359
288,SENGKANG WEST AVENUE,Bukit Timah,3725
289,SERANGOON CENTRAL,Bukit Timah,2826
290,SERANGOON ROAD,Bukit Timah,2615
291,SHENTON WAY,Bukit Timah,2709
292,SIMS AVENUE,Bukit Timah,2753
293,SIMS DRIVE,Bukit Timah,3330
294,SIN MING ROAD,Bukit Timah,2471
295,SINARAN DRIVE,Bukit Timah,2099
296,SOMERSET ROAD,Bukit Timah,2126
297,SOUTH BRIDGE ROAD,Bukit Timah,2487
298,SOUTH BUONA VISTA ROAD,Bukit Timah,2631
299,STADIUM WALK,Bukit Timah,2439
300,STAMFORD ROAD,Bukit Timah,2844
301,TAI SENG STREET,Bukit Timah,2860
302,TAI THONG CRESCENT,Bukit Timah,2510
303,TAMPINES CENTRAL 1,Bukit Timah,4265
304,TAMPINES CENTRAL 5,Bukit Timah,3771
305,TAMPINES STREET 32,Bukit Timah,4577
306,TAN QUEE LAN STREET,Bukit Timah,1964
307,TANGLIN ROAD,Bukit Timah,2546
308,TANJONG KATONG ROAD,Bukit Timah,3220
309,TELOK AYER STREET,Bukit Timah,2529
310,TELOK KURAU ROAD,Bukit Timah,3803
311,TEMASEK BOULEVARD,Bukit Timah,2233
312,TESSENSOHN ROAD,Bukit Timah,2395
313,THOMSON ROAD,Bukit Timah,2418
314,TIONG BAHRU ROAD,Bukit Timah,2763
315,TRAS STREET,Bukit Timah,2817
316,UNITY STREET,Bukit Timah,2690
317,UPPER BUKIT TIMAH ROAD,Bukit Timah,1823
318,UPPER CIRCULAR ROAD,Bukit Timah,2444
319,UPPER CROSS STREET,Bukit Timah,2501
320,UPPER SERANGOON ROAD,Bukit Timah,3190
321,UPPER THOMSON ROAD,Bukit Timah,2528
322,VICTORIA STREET,Bukit Timah,1898
323,WEST COAST DRIVE,Bukit Timah,2557
324,WEST COAST ROAD,Bukit Timah,2622
325,WILKIE ROAD,Bukit Timah,2818
326,WOODLANDS AVENUE 1,Bukit Timah,4275
327,WOODLANDS ROAD,Bukit Timah,2539
328,WOODLANDS SQUARE,Bukit Timah,3530
329,YIO CHU KANG ROAD,Bukit Timah,3311
330,YISHUN AVENUE 2,Bukit Timah,3228
331,YISHUN AVENUE 9,Bukit Timah,4221
332,YISHUN CENTRAL 1,Bukit Timah,3562
333,YISHUN RING ROAD,Bukit Timah,4450
334,ALBERT STREET,Bukit Batok,2924
335,ALEXANDRA ROAD,Bukit Batok,2559
336,ANG MO KIO AVENUE 3,Bukit Batok,3944
337,ANSON ROAD,Bukit Batok,2991
338,BALESTIER ROAD,Bukit Batok,3402
339,BATTERY ROAD,Bukit Batok,2965
340,BAYFRONT AVENUE,Bukit Batok,2694
341,BEACH ROAD,Bukit Batok,2637
342,BEDOK NORTH STREET 1,Bukit Batok,4313
343,BEDOK ROAD,Bukit Batok,4740
344,BENCOOLEN STREET,Bukit Batok,3448
345,BIDADARI PARK DRIVE,Bukit Batok,3315
346,BRAS BASAH ROAD,Bukit Batok,3319
347,BROOKE ROAD,Bukit Batok,4299
348,BUKIT TIMAH ROAD,Bukit Batok,5479
349,CAVAN ROAD,Bukit Batok,3213
350,CECIL STREET,Bukit Batok,3146
351,CENTRAL BOULEVARD,Bukit Batok,3233
352,CHANGI BUSINESS PARK CENTRAL 1,Bukit Batok,5107
