,Street_name,Planning_area,Time_taken
319,UPPER CROSS STREET,Marine Parade,2261
320,UPPER SERANGOON ROAD,Marine Parade,2616
321,UPPER THOMSON ROAD,Marine Parade,3000
322,VICTORIA STREET,Marine Parade,1526
323,WEST COAST DRIVE,Marine Parade,3895
324,WEST COAST ROAD,Marine Parade,4024
325,WILKIE ROAD,Marine Parade,2274
326,WOODLANDS AVENUE 1,Marine Parade,4800
327,WOODLANDS ROAD,Marine Parade,4184
328,WOODLANDS SQUARE,Marine Parade,4055
329,YIO CHU KANG ROAD,Marine Parade,2491
330,YISHUN AVENUE 2,Marine Parade,3228
331,YISHUN AVENUE 9,Marine Parade,3897
332,YISHUN CENTRAL 1,Marine Parade,3562
333,YISHUN RING ROAD,Marine Parade,4010
334,ALBERT STREET,Newton,2901
335,ALEXANDRA ROAD,Newton,2136
336,ANG MO KIO AVENUE 3,Newton,2490
337,ANSON ROAD,Newton,2211
338,BALESTIER ROAD,Newton,1768
339,BATTERY ROAD,Newton,1817
340,BAYFRONT AVENUE,Newton,1775
341,BEACH ROAD,Newton,3479
342,BEDOK NORTH STREET 1,Newton,3319
343,BEDOK ROAD,Newton,3641
344,BENCOOLEN STREET,Newton,2573
345,BIDADARI PARK DRIVE,Newton,2152
346,BRAS BASAH ROAD,Newton,2626
347,BROOKE ROAD,Newton,3094
348,BUKIT TIMAH ROAD,Newton,4101
349,CAVAN ROAD,Newton,2265
350,CECIL STREET,Newton,2224
351,CENTRAL BOULEVARD,Newton,2092
352,CHANGI BUSINESS PARK CENTRAL 1,Newton,4164
353,CHANGI ROAD,Newton,2879
354,CHIN SWEE ROAD,Newton,2993
355,CHOA CHU KANG AVENUE 4,Newton,3793
356,CHOA CHU KANG NORTH 6,Newton,3785
357,CLAYMORE DRIVE,Newton,1790
358,CLEMENCEAU AVENUE,Newton,1808
359,CLEMENTI AVENUE 3,Newton,3033
360,COLEMAN STREET,Newton,1549
361,COLLYER QUAY,Newton,1861
362,COMMONWEALTH AVENUE WEST,Newton,2902
363,COMPASSVALE BOW,Newton,2714
364,CROSS STREET,Newton,1937
365,CUSCADEN ROAD,Newton,2065
366,EAST COAST ROAD,Newton,3731
367,EASTWOOD ROAD,Newton,3805
368,ENG HOON STREET,Newton,1850
369,ENGGOR STREET,Newton,2353
370,EU TONG SEN STREET,Newton,1712
371,FOCH ROAD,Newton,2095
372,GEYLANG ROAD,Newton,2830
373,GOLDHILL PLAZA,Newton,2115
374,GOPENG STREET,Newton,2200
375,GUILLEMARD ROAD,Newton,2622
376,HANDY ROAD,Newton,2030
377,HAVELOCK ROAD,Newton,3185
378,HIGH STREET,Newton,1633
379,HOLLAND AVENUE,Newton,2348
380,HOUGANG AVENUE 10,Newton,3116
381,HOUGANG STREET 51,Newton,3112
382,HOUGANG STREET 91,Newton,3364
383,IRRAWADDY ROAD,Newton,2492
384,JALAN ANAK BUKIT,Newton,2411
385,JALAN BESAR,Newton,3850
386,JALAN JURONG KECHIL,Newton,2327
387,JALAN LEGUNDI,Newton,3583
388,JALAN MASJID,Newton,2798
389,JALAN SULTAN,Newton,2113
390,JELEBU ROAD,Newton,3011
391,JOO CHIAT ROAD,Newton,3242
392,JOO KOON CIRCLE,Newton,4749
393,JURONG EAST STREET 21,Newton,3546
394,JURONG GATEWAY ROAD,Newton,3266
395,JURONG WEST CENTRAL 2,Newton,3686
396,JURONG WEST CENTRAL 3,Newton,3792
397,KALLANG AVENUE,Newton,2387
398,KELANTAN LANE,Newton,3516
399,KEPPEL ROAD,Newton,2429
400,KITCHENER ROAD,Newton,3609
401,KOEK ROAD,Newton,1344
402,LAVENDER STREET,Newton,1981
403,LORONG 22 GEYLANG,Newton,2861
404,LORONG 4 TOA PAYOH,Newton,1917
405,LORONG KILAT,Newton,2417
406,LORONG LIPUT,Newton,2372
407,MACPHERSON ROAD,Newton,2313
408,MAJU AVENUE,Newton,2980
409,MARINA BOULEVARD,Newton,2365
410,MARINA VIEW,Newton,1970
411,MARINE PARADE ROAD,Newton,3310
412,MARITIME SQUARE,Newton,2363
413,MARKET STREET,Newton,3461
414,MARNE ROAD,Newton,2032
415,MERCHANT ROAD,Newton,2871
416,MIDDLE ROAD,Newton,2737
417,MOHAMED SULTAN ROAD,Newton,2471
418,MOUNTBATTEN ROAD,Newton,2412
419,NEW BRIDGE ROAD,Newton,1796
420,NEW UPPER CHANGI ROAD,Newton,3573
421,NORTH BRIDGE ROAD,Newton,2100
422,NORTH BUONA VISTA DRIVE,Newton,2359
423,NORTHPOINT DRIVE,Newton,3052
424,OCEAN WAY,Newton,5058
425,ORCHARD ROAD,Newton,980
426,ORCHARD TURN,Newton,1199
427,OUTRAM ROAD,Newton,2086
428,PASIR PANJANG ROAD,Newton,2987
429,PASIR RIS CENTRAL,Newton,4267
430,PASIR RIS CLOSE,Newton,4357
431,PAYA LEBAR ROAD,Newton,2449
432,PENANG ROAD,Newton,1698
433,PETIR ROAD,Newton,3165
434,PUNGGOL CENTRAL,Newton,3599
435,QUEENSWAY,Newton,2659
436,RACE COURSE ROAD,Newton,3455
437,RAFFLES AVENUE,Newton,2148
438,RAFFLES BOULEVARD,Newton,1843
439,RAFFLES LINK,Newton,3288
440,RAFFLES PLACE,Newton,1637
441,RAFFLES QUAY,Newton,1957
442,RANGOON ROAD,Newton,3021
443,RIVER VALLEY ROAD,Newton,2139
444,RIVERVALE CRESCENT,Newton,3234
445,ROBERTSON QUAY,Newton,2707
446,ROBINSON ROAD,Newton,2261
447,ROCHOR CANAL ROAD,Newton,3062
448,ROCHOR ROAD,Newton,3170
449,SAM LEONG ROAD,Newton,3518
450,SCOTTS ROAD,Newton,1218
451,SELEGIE ROAD,Newton,2675
452,SEMBAWANG DRIVE,Newton,3845
453,SEMBAWANG ROAD,Newton,3091
454,SENGKANG SQUARE,Newton,2909
455,SENGKANG WEST AVENUE,Newton,3221
456,SERANGOON CENTRAL,Newton,2640
457,SERANGOON ROAD,Newton,2415
458,SHENTON WAY,Newton,2223
459,SIMS AVENUE,Newton,2435
460,SIMS DRIVE,Newton,2816
461,SIN MING ROAD,Newton,2827
462,SINARAN DRIVE,Newton,2537
463,SOMERSET ROAD,Newton,1189
464,SOUTH BRIDGE ROAD,Newton,1940
465,SOUTH BUONA VISTA ROAD,Newton,3265
466,STADIUM WALK,Newton,2162
467,STAMFORD ROAD,Newton,2606
468,TAI SENG STREET,Newton,2709
469,TAI THONG CRESCENT,Newton,2208
470,TAMPINES CENTRAL 1,Newton,3742
471,TAMPINES CENTRAL 5,Newton,3453
472,TAMPINES STREET 32,Newton,3645
473,TAN QUEE LAN STREET,Newton,3344
474,TANGLIN ROAD,Newton,2228
475,TANJONG KATONG ROAD,Newton,2686
476,TELOK AYER STREET,Newton,2323
477,TELOK KURAU ROAD,Newton,3235
478,TEMASEK BOULEVARD,Newton,1639
479,TESSENSOHN ROAD,Newton,3306
480,THOMSON ROAD,Newton,2185
481,TIONG BAHRU ROAD,Newton,1723
482,TRAS STREET,Newton,2312
483,UNITY STREET,Newton,2475
484,UPPER BUKIT TIMAH ROAD,Newton,2920
485,UPPER CIRCULAR ROAD,Newton,1621
486,UPPER CROSS STREET,Newton,1841
487,UPPER SERANGOON ROAD,Newton,2740
488,UPPER THOMSON ROAD,Newton,2820
489,VICTORIA STREET,Newton,1692
490,WEST COAST DRIVE,Newton,3670
491,WEST COAST ROAD,Newton,3761
492,WILKIE ROAD,Newton,2913
493,WOODLANDS AVENUE 1,Newton,4151
494,WOODLANDS ROAD,Newton,3485
495,WOODLANDS SQUARE,Newton,3406
496,YIO CHU KANG ROAD,Newton,2874
497,YISHUN AVENUE 2,Newton,2579
498,YISHUN AVENUE 9,Newton,3173
499,YISHUN CENTRAL 1,Newton,2913
500,YISHUN RING ROAD,Newton,3323
501,ALBERT STREET,Orchard,1014
502,ALEXANDRA ROAD,Orchard,1134
503,ANG MO KIO AVENUE 3,Orchard,1807
504,ANSON ROAD,Orchard,1257
505,BALESTIER ROAD,Orchard,1236
506,BATTERY ROAD,Orchard,798
507,BAYFRONT AVENUE,Orchard,1037
508,BEACH ROAD,Orchard,1168
509,BEDOK NORTH STREET 1,Orchard,2300
510,BEDOK ROAD,Orchard,2520
511,BENCOOLEN STREET,Orchard,905
512,BIDADARI PARK DRIVE,Orchard,1440
513,BRAS BASAH ROAD,Orchard,745
514,BROOKE ROAD,Orchard,2517
515,BUKIT TIMAH ROAD,Orchard,3513
516,CAVAN ROAD,Orchard,1429
517,CECIL STREET,Orchard,1205
518,CENTRAL BOULEVARD,Orchard,1073
519,CHANGI BUSINESS PARK CENTRAL 1,Orchard,3017
520,CHANGI ROAD,Orchard,1860
521,CHIN SWEE ROAD,Orchard,1047
522,CHOA CHU KANG AVENUE 4,Orchard,3318
523,CHOA CHU KANG NORTH 6,Orchard,3280
524,CLAYMORE DRIVE,Orchard,774
525,CLEMENCEAU AVENUE,Orchard,1311
526,CLEMENTI AVENUE 3,Orchard,2370
527,COLEMAN STREET,Orchard,805
528,COLLYER QUAY,Orchard,842
529,COMMONWEALTH AVENUE WEST,Orchard,2072
530,COMPASSVALE BOW,Orchard,2002
531,CROSS STREET,Orchard,1168
532,CUSCADEN ROAD,Orchard,1007
533,EAST COAST ROAD,Orchard,2897
534,EASTWOOD ROAD,Orchard,2673
535,ENG HOON STREET,Orchard,1029
536,ENGGOR STREET,Orchard,1399
537,EU TONG SEN STREET,Orchard,1114
538,FOCH ROAD,Orchard,1550
539,GEYLANG ROAD,Orchard,2024
540,GOLDHILL PLAZA,Orchard,782
541,GOPENG STREET,Orchard,1246
542,GUILLEMARD ROAD,Orchard,1757
543,HANDY ROAD,Orchard,590
544,HAVELOCK ROAD,Orchard,1135
545,HIGH STREET,Orchard,1011
546,HOLLAND AVENUE,Orchard,1712
547,HOUGANG AVENUE 10,Orchard,2272
548,HOUGANG STREET 51,Orchard,2484
549,HOUGANG STREET 91,Orchard,2628
550,IRRAWADDY ROAD,Orchard,695
551,JALAN ANAK BUKIT,Orchard,1823
552,JALAN BESAR,Orchard,1525
553,JALAN JURONG KECHIL,Orchard,1739
554,JALAN LEGUNDI,Orchard,2764
555,JALAN MASJID,Orchard,1779
556,JALAN SULTAN,Orchard,1450
557,JELEBU ROAD,Orchard,2423
558,JOO CHIAT ROAD,Orchard,2223
559,JOO KOON CIRCLE,Orchard,4055
560,JURONG EAST STREET 21,Orchard,2955
561,JURONG GATEWAY ROAD,Orchard,2675
562,JURONG WEST CENTRAL 2,Orchard,3095
563,JURONG WEST CENTRAL 3,Orchard,3201
564,KALLANG AVENUE,Orchard,1435
565,KELANTAN LANE,Orchard,1216
566,KEPPEL ROAD,Orchard,1526
567,KITCHENER ROAD,Orchard,1320
568,KOEK ROAD,Orchard,893
569,LAVENDER STREET,Orchard,1387
570,LORONG 22 GEYLANG,Orchard,1932
571,LORONG 4 TOA PAYOH,Orchard,1117
572,LORONG KILAT,Orchard,1829
573,LORONG LIPUT,Orchard,1677
574,MACPHERSON ROAD,Orchard,1573
575,MAJU AVENUE,Orchard,2388
576,MARINA BOULEVARD,Orchard,1623
577,MARINA VIEW,Orchard,1222
578,MARINE PARADE ROAD,Orchard,2599
579,MARITIME SQUARE,Orchard,1724
580,MARKET STREET,Orchard,2442
581,MARNE ROAD,Orchard,1148
582,MERCHANT ROAD,Orchard,1143
583,MIDDLE ROAD,Orchard,1086
584,MOHAMED SULTAN ROAD,Orchard,1871
585,MOUNTBATTEN ROAD,Orchard,1730
586,NEW BRIDGE ROAD,Orchard,1039
587,NEW UPPER CHANGI ROAD,Orchard,2535
588,NORTH BRIDGE ROAD,Orchard,1303
589,NORTH BUONA VISTA DRIVE,Orchard,1875
590,NORTHPOINT DRIVE,Orchard,2284
591,OCEAN WAY,Orchard,4391
592,ORCHARD ROAD,Orchard,437
593,ORCHARD TURN,Orchard,202
594,OUTRAM ROAD,Orchard,1391
595,PASIR PANJANG ROAD,Orchard,2700
596,PASIR RIS CENTRAL,Orchard,3283
597,PASIR RIS CLOSE,Orchard,3246
598,PAYA LEBAR ROAD,Orchard,1858
599,PENANG ROAD,Orchard,1201
600,PETIR ROAD,Orchard,2727
601,PUNGGOL CENTRAL,Orchard,2742
602,QUEENSWAY,Orchard,1501
603,RACE COURSE ROAD,Orchard,1689
604,RAFFLES AVENUE,Orchard,1410
605,RAFFLES BOULEVARD,Orchard,1381
606,RAFFLES LINK,Orchard,949
607,RAFFLES PLACE,Orchard,618
608,RAFFLES QUAY,Orchard,938
609,RANGOON ROAD,Orchard,1200
610,RIVER VALLEY ROAD,Orchard,1397
611,RIVERVALE CRESCENT,Orchard,2522
612,ROBERTSON QUAY,Orchard,2079
613,ROBINSON ROAD,Orchard,1242
