,Street_name,Planning_area,Time_taken
160,WOODLANDS ROAD,Bukit Panjang,1417
161,WOODLANDS SQUARE,Bukit Panjang,2335
162,YIO CHU KANG ROAD,Bukit Panjang,3853
163,YISHUN AVENUE 2,Bukit Panjang,3627
164,YISHUN AVENUE 9,Bukit Panjang,3780
165,YISHUN CENTRAL 1,Bukit Panjang,3219
166,YISHUN RING ROAD,Bukit Panjang,3187
167,ALBERT STREET,Bishan,2565
168,ALEXANDRA ROAD,Bishan,3191
169,ANG MO KIO AVENUE 3,Bishan,1435
170,ANSON ROAD,Bishan,3010
171,BALESTIER ROAD,Bishan,1787
172,BATTERY ROAD,Bishan,2616
173,BAYFRONT AVENUE,Bishan,2741
174,BEACH ROAD,Bishan,2784
175,BEDOK NORTH STREET 1,Bishan,3490
176,BEDOK ROAD,Bishan,3626
177,BENCOOLEN STREET,Bishan,2607
178,BIDADARI PARK DRIVE,Bishan,2502
179,BRAS BASAH ROAD,Bishan,2736
180,BROOKE ROAD,Bishan,3633
181,BUKIT TIMAH ROAD,Bishan,4143
182,CAVAN ROAD,Bishan,2586
183,CECIL STREET,Bishan,3023
184,CENTRAL BOULEVARD,Bishan,2891
185,CHANGI BUSINESS PARK CENTRAL 1,Bishan,4063
186,CHANGI ROAD,Bishan,3050
187,CHIN SWEE ROAD,Bishan,3162
188,CHOA CHU KANG AVENUE 4,Bishan,4307
189,CHOA CHU KANG NORTH 6,Bishan,3702
190,CLAYMORE DRIVE,Bishan,2799
191,CLEMENCEAU AVENUE,Bishan,2661
192,CLEMENTI AVENUE 3,Bishan,3193
193,COLEMAN STREET,Bishan,2623
194,COLLYER QUAY,Bishan,2660
195,COMMONWEALTH AVENUE WEST,Bishan,3062
196,COMPASSVALE BOW,Bishan,2664
197,CROSS STREET,Bishan,2903
198,CUSCADEN ROAD,Bishan,2848
199,EAST COAST ROAD,Bishan,4183
200,EASTWOOD ROAD,Bishan,3705
201,ENG HOON STREET,Bishan,2696
202,ENGGOR STREET,Bishan,3152
203,EU TONG SEN STREET,Bishan,2846
204,FOCH ROAD,Bishan,2344
205,GEYLANG ROAD,Bishan,2807
206,GOLDHILL PLAZA,Bishan,2090
207,GOPENG STREET,Bishan,2999
208,GUILLEMARD ROAD,Bishan,3276
209,HANDY ROAD,Bishan,2408
210,HAVELOCK ROAD,Bishan,3292
211,HIGH STREET,Bishan,2931
212,HOLLAND AVENUE,Bishan,2408
213,HOUGANG AVENUE 10,Bishan,2605
214,HOUGANG STREET 51,Bishan,2864
215,HOUGANG STREET 91,Bishan,2659
216,IRRAWADDY ROAD,Bishan,1809
217,JALAN ANAK BUKIT,Bishan,2491
218,JALAN BESAR,Bishan,2384
219,JALAN JURONG KECHIL,Bishan,3087
220,JALAN LEGUNDI,Bishan,3566
221,JALAN MASJID,Bishan,2969
222,JALAN SULTAN,Bishan,3014
223,JELEBU ROAD,Bishan,3771
224,JOO CHIAT ROAD,Bishan,3116
225,JOO KOON CIRCLE,Bishan,4909
226,JURONG EAST STREET 21,Bishan,3706
227,JURONG GATEWAY ROAD,Bishan,3426
228,JURONG WEST CENTRAL 2,Bishan,3846
229,JURONG WEST CENTRAL 3,Bishan,3952
230,KALLANG AVENUE,Bishan,2737
231,KELANTAN LANE,Bishan,2526
232,KEPPEL ROAD,Bishan,3335
233,KITCHENER ROAD,Bishan,2506
234,KOEK ROAD,Bishan,2448
235,LAVENDER STREET,Bishan,2418
236,LORONG 22 GEYLANG,Bishan,3120
237,LORONG 4 TOA PAYOH,Bishan,1771
238,LORONG KILAT,Bishan,3177
239,LORONG LIPUT,Bishan,2432
240,MACPHERSON ROAD,Bishan,2781
241,MAJU AVENUE,Bishan,2357
242,MARINA BOULEVARD,Bishan,3327
243,MARINA VIEW,Bishan,2936
244,MARINE PARADE ROAD,Bishan,3772
245,MARITIME SQUARE,Bishan,3497
246,MARKET STREET,Bishan,3632
247,MARNE ROAD,Bishan,2465
248,MERCHANT ROAD,Bishan,3042
249,MIDDLE ROAD,Bishan,2722
250,MOHAMED SULTAN ROAD,Bishan,3150
251,MOUNTBATTEN ROAD,Bishan,3144
252,NEW BRIDGE ROAD,Bishan,2930
253,NEW UPPER CHANGI ROAD,Bishan,3833
254,NORTH BRIDGE ROAD,Bishan,2914
255,NORTH BUONA VISTA DRIVE,Bishan,2419
256,NORTHPOINT DRIVE,Bishan,2906
257,OCEAN WAY,Bishan,6234
258,ORCHARD ROAD,Bishan,2507
259,ORCHARD TURN,Bishan,2279
260,OUTRAM ROAD,Bishan,2753
261,PASIR PANJANG ROAD,Bishan,3147
262,PASIR RIS CENTRAL,Bishan,4221
263,PASIR RIS CLOSE,Bishan,4203
264,PAYA LEBAR ROAD,Bishan,1979
265,PENANG ROAD,Bishan,2515
266,PETIR ROAD,Bishan,3785
267,PUNGGOL CENTRAL,Bishan,3302
268,QUEENSWAY,Bishan,2528
269,RACE COURSE ROAD,Bishan,2181
270,RAFFLES AVENUE,Bishan,3114
271,RAFFLES BOULEVARD,Bishan,2974
272,RAFFLES LINK,Bishan,2767
273,RAFFLES PLACE,Bishan,2436
274,RAFFLES QUAY,Bishan,2756
275,RANGOON ROAD,Bishan,2459
276,RIVER VALLEY ROAD,Bishan,2890
277,RIVERVALE CRESCENT,Bishan,3022
278,ROBERTSON QUAY,Bishan,3480
279,ROBINSON ROAD,Bishan,3060
280,ROCHOR CANAL ROAD,Bishan,2682
281,ROCHOR ROAD,Bishan,2719
282,SAM LEONG ROAD,Bishan,2595
283,SCOTTS ROAD,Bishan,2357
284,SELEGIE ROAD,Bishan,2671
285,SEMBAWANG DRIVE,Bishan,3551
286,SEMBAWANG ROAD,Bishan,3049
287,SENGKANG SQUARE,Bishan,2859
288,SENGKANG WEST AVENUE,Bishan,3099
289,SERANGOON CENTRAL,Bishan,2205
290,SERANGOON ROAD,Bishan,2801
291,SHENTON WAY,Bishan,3022
292,SIMS AVENUE,Bishan,2873
293,SIMS DRIVE,Bishan,3074
294,SIN MING ROAD,Bishan,488
295,SINARAN DRIVE,Bishan,2095
296,SOMERSET ROAD,Bishan,2233
297,SOUTH BRIDGE ROAD,Bishan,3074
298,SOUTH BUONA VISTA ROAD,Bishan,3425
299,STADIUM WALK,Bishan,2774
300,STAMFORD ROAD,Bishan,2688
301,TAI SENG STREET,Bishan,2239
302,TAI THONG CRESCENT,Bishan,2741
303,TAMPINES CENTRAL 1,Bishan,3825
304,TAMPINES CENTRAL 5,Bishan,3624
305,TAMPINES STREET 32,Bishan,4137
306,TAN QUEE LAN STREET,Bishan,2694
307,TANGLIN ROAD,Bishan,3140
308,TANJONG KATONG ROAD,Bishan,2996
309,TELOK AYER STREET,Bishan,3289
310,TELOK KURAU ROAD,Bishan,3883
311,TEMASEK BOULEVARD,Bishan,2983
312,TESSENSOHN ROAD,Bishan,2329
313,THOMSON ROAD,Bishan,1901
314,TIONG BAHRU ROAD,Bishan,2547
315,TRAS STREET,Bishan,3111
316,UNITY STREET,Bishan,3154
317,UPPER BUKIT TIMAH ROAD,Bishan,3479
318,UPPER CIRCULAR ROAD,Bishan,2933
319,UPPER CROSS STREET,Bishan,2975
320,UPPER SERANGOON ROAD,Bishan,2690
321,UPPER THOMSON ROAD,Bishan,1680
322,VICTORIA STREET,Bishan,2636
323,WEST COAST DRIVE,Bishan,3650
